bench,version,status,estimate,hls_lut,est_lut,hls_lat_min,hls_lat_max,est_lat,hls_bram,est_bram,hls_dsp,est_dsp,hls_ff,est_ff
aes,baseline,ok,True,11952,11952,14862,21622,108122,10,5,0,0,5283,5283
aes,rewrite,missing,,,,,,,,,,,,
backprop,baseline,ok,True,62041,66248,134969054,134969054,630207577,58,37,198,198,59752,65350
backprop,rewrite,missing,,,,,,,,,,,,
bfs-bulk,baseline,ok,True,1662,10076,2826,35870,356605,2,17,0,0,1357,12553
bfs-bulk,rewrite,ok,True,1419,9833,2826,33310,271002,2,17,0,0,911,12107
bfs-queue,baseline,ok,True,2895,11309,14,1544,196859,10,21,0,0,1906,13102
bfs-queue,rewrite,missing,,,,,,,,,,,,
fft-strided,baseline,ok,True,9420,13627,158741,645141,3149720,8,12,56,56,7304,12902
fft-strided,rewrite,ok,True,9466,13673,158741,645141,3149720,8,12,56,56,7324,12922
fft-transpose,baseline,ok,True,58316,58316,183435,197771,967621,40,20,336,336,56246,56246
fft-transpose,rewrite,missing,,,,,,,,,,,,
gemm-blocked,baseline,ok,True,2988,11402,6463633,6463633,30470849,4,18,14,14,2250,13446
gemm-blocked,rewrite,ok,True,2988,11402,6463633,6463633,30470849,4,18,14,14,2250,13446
gemm-ncubed,baseline,ok,True,4854,13268,262671,262671,1422749,98,65,14,14,8630,19826
gemm-ncubed,rewrite,ok,True,1994,6201,5513345,5513345,35689111,0,8,14,14,1491,7089
kmp,baseline,ok,True,3075,7282,194534,10534288140,1915558385,6,11,0,0,2325,7923
kmp,rewrite,ok,True,3107,7314,194534,10534288122,1915558145,6,11,0,0,2349,7947
md-grid,baseline,ok,True,13942,30770,2832,2832,169343,24,44,67,67,16109,38501
md-grid,rewrite,missing,,,,,,,,,,,,
md-knn,baseline,ok,True,10187,22808,725761,725761,13305644,0,24,42,42,11013,27807
md-knn,rewrite,ok,True,10202,22823,725761,725761,13305644,0,24,42,42,11013,27807
nw,baseline,ok,True,3315,7522,460308,461708,2769612,4,10,3,3,2058,7656
nw,rewrite,missing,,,,,,,,,,,,
sort-merge,baseline,ok,True,1685,1685,23,1291980823,1734299144,6,3,0,0,1302,1302
sort-merge,rewrite,ok,True,1531,1531,23,1291980823,1734299144,6,3,0,0,1152,1152
sort-radix,baseline,ok,True,7075,7075,2222465,2222465,10486426,8,4,0,0,3935,3935
sort-radix,rewrite,ok,True,7086,7086,2222465,2222465,10486426,8,4,0,0,3941,3941
spmv-crs,baseline,ok,True,1971,10385,2471,2205217,10415332,0,16,14,14,1681,12877
spmv-crs,rewrite,ok,True,1963,10377,1977,5614805,26326745,0,16,14,14,1626,12822
spmv-ellpack,baseline,ok,True,2981,11395,56323,56323,435816,4,18,14,14,2449,13645
spmv-ellpack,rewrite,ok,True,2835,11249,120053,120053,733223,4,18,14,14,2213,13409
stencil-stencil2d,baseline,ok,True,454,8868,117181,117181,641239,0,16,3,3,271,11467
stencil-stencil2d,rewrite,ok,True,307,8721,625213,625213,3012055,0,16,4,4,433,11629
stencil-stencil3d,baseline,ok,True,137215,145629,48376,48376,498368,0,16,2940,2940,187402,198598
stencil-stencil3d,rewrite,missing,,,,,,,,,,,,
viterbi,baseline,ok,True,4236,12650,14352694,14352694,67157477,66,49,3,3,2581,13777
viterbi,rewrite,missing,,,,,,,,,,,,
