bench,version,status,estimate,hls_lat_min,hls_lat_max,hls_lut,full_lut,hls_ff,full_ff,hls_bram,full_bram18,full_bram36,hls_dsp,full_dsp
aes,baseline,ok,False,96,96,827,916,211,935,1,2,5,0,0
aes,rewrite,ok,False,96,96,515,816,117,837,1,1,5,0,0
backprop,baseline,ok,False,16642,16642,2057,27114,1651,42675,0,15,9,14,136
backprop,rewrite,error,False,,,,,,,,,,,
bfs-bulk,baseline,ok,False,771,15383,975,1049,1022,1040,46,0,23,0,0
bfs-bulk,rewrite,ok,False,1027,15381,1013,956,916,998,46,0,23,0,0
bfs-queue,baseline,ok,False,6,1281,1191,1032,961,989,48,1,23,0,0
bfs-queue,rewrite,ok,False,5,1025,1147,933,863,947,48,1,23,0,0
fft-strided,baseline,ok,False,71701,337941,7601,3799,6053,5386,16,0,8,56,56
fft-strided,rewrite,ok,False,71701,337941,7630,3792,6109,5429,16,0,8,56,56
fft-transpose,baseline,ok,False,24,36,2186,60676,2043,35879,0,4,10,0,218
fft-transpose,rewrite,ok,False,62,62,12758,56903,10167,33902,0,4,10,68,218
gemm-blocked,baseline,ok,False,5382289,5382289,2273,1108,1802,1875,48,0,24,14,14
gemm-blocked,rewrite,ok,False,5316753,5316753,2238,1091,1788,1869,48,0,24,14,14
gemm-ncubed,baseline,ok,False,262612,262612,5042,6903,8382,11742,142,0,24,14,14
gemm-ncubed,rewrite,ok,False,4989057,4989057,2206,1064,1719,1734,48,0,24,14,14
kmp,baseline,ok,False,16,46,317,,152,,0,,,0,
kmp,rewrite,ok,False,194486,3160364231,967,634,796,711,22,0,11,0,0
md-grid,baseline,ok,False,2506,2506,14661,9586,15462,14097,50,0,19,67,55
md-grid,rewrite,ok,False,2491,17339,13848,8371,12754,12249,38,0,19,42,42
md-knn,baseline,ok,False,676609,676609,10561,6856,11432,11200,32,0,16,42,42
md-knn,rewrite,ok,False,676609,676609,10578,6980,11425,11202,32,0,16,42,42
nw,baseline,ok,False,147976,148576,1828,1162,1154,1003,88,0,44,3,1
nw,rewrite,ok,False,131592,132192,1980,1226,1208,997,88,0,44,0,0
sort-merge,baseline,ok,False,3,12291,488,615,423,556,4,0,4,0,0
sort-merge,rewrite,ok,False,3,12291,374,420,267,377,4,0,4,0,0
sort-radix,baseline,ok,False,13313,13313,290,757,233,835,0,0,7,0,0
sort-radix,rewrite,ok,False,13313,13313,323,813,237,899,0,0,7,0,0
spmv-crs,baseline,ok,False,2471,1960193,2322,1368,2089,1948,22,0,11,14,14
spmv-crs,rewrite,ok,False,1977,4882697,2305,1305,2032,1953,22,0,11,14,14
spmv-ellpack,baseline,ok,False,47919,47919,2301,1213,1997,1917,56,0,28,14,14
spmv-ellpack,rewrite,ok,False,104729,104729,2212,1123,1856,1908,56,0,28,14,14
stencil-stencil2d,baseline,ok,False,117181,117181,700,336,554,360,34,0,17,3,3
stencil-stencil2d,rewrite,ok,False,484597,484597,629,301,652,453,34,0,17,4,3
stencil-stencil3d,baseline,ok,False,70668,70668,6446,3603,5588,2700,66,0,33,98,84
stencil-stencil3d,rewrite,ok,False,184124,184124,1302,560,1190,800,66,0,33,8,6
viterbi,baseline,ok,False,12064418,12064418,3574,2002,2250,2287,104,0,52,3,3
viterbi,rewrite,ok,False,12064418,12064418,3584,2064,2200,2265,104,0,52,3,3
