force,pos,j_d1,j_d2,ur_loop1,ur_loop2,bench,target_clock,estimated_clock,min_latency,max_latency,bram_used,dsp48_used,ff_used,lut_used
4,1,1,2,1,1,full-stencil2d-outer:machsuite-md-knn-3-0-0-1-0-0,4.0,2.92,11198,11198,372,592,114822,65454
2,1,2,4,1,1,full-stencil2d-outer:machsuite-md-knn-1-0-1-3-0-0,4.0,2.92,10688,10688,408,1184,199871,123755
2,1,1,2,2,2,full-stencil2d-outer:machsuite-md-knn-1-0-0-1-1-1,4.0,2.92,11194,11194,648,592,139966,68322
4,2,1,4,1,2,full-stencil2d-outer:machsuite-md-knn-3-1-0-3-0-1,4.0,2.92,10688,10688,378,1184,199879,122208
1,1,2,4,1,1,full-stencil2d-outer:machsuite-md-knn-0-0-1-3-0-0,4.0,2.92,10688,10688,402,1184,199871,123521
1,2,4,1,2,2,full-stencil2d-outer:machsuite-md-knn-0-1-3-0-1-1,4.0,2.92,11194,11194,648,592,140032,69875
2,4,1,2,1,1,full-stencil2d-outer:machsuite-md-knn-1-3-0-1-0-0,4.0,2.92,11198,11198,378,592,114920,65825
4,1,2,1,2,1,full-stencil2d-outer:machsuite-md-knn-3-0-1-0-1-0,4.0,2.92,11194,11194,660,592,140028,68375
2,1,4,2,2,4,full-stencil2d-outer:machsuite-md-knn-1-0-3-1-1-3,4.0,2.92,10686,10686,696,1184,225101,128399
1,1,4,1,1,2,full-stencil2d-outer:machsuite-md-knn-0-0-3-0-0-1,4.0,2.92,12218,12218,354,296,72267,37539
4,2,1,1,1,1,full-stencil2d-outer:machsuite-md-knn-3-1-0-0-0-0,4.0,2.92,12218,12218,375,296,72173,37102
2,1,4,1,2,2,full-stencil2d-outer:machsuite-md-knn-1-0-3-0-1-1,4.0,2.92,11194,11194,648,592,139963,69825
1,4,2,4,2,8,full-stencil2d-outer:machsuite-md-knn-0-3-1-3-1-7,4.0,2.92,10432,10432,708,2368,395041,238857
2,2,1,4,2,1,full-stencil2d-outer:machsuite-md-knn-1-1-0-3-1-0,4.0,2.92,10686,10686,648,1184,225113,126035
4,1,4,2,1,4,full-stencil2d-outer:machsuite-md-knn-3-0-3-1-0-3,4.0,2.92,11198,11198,420,592,114895,66934
1,4,4,2,2,2,full-stencil2d-outer:machsuite-md-knn-0-3-3-1-1-1,4.0,2.92,10686,10686,708,1184,225191,128815
1,4,4,2,1,1,full-stencil2d-outer:machsuite-md-knn-0-3-3-1-0-0,4.0,2.92,11198,11198,420,592,114983,67071
1,2,4,4,2,8,full-stencil2d-outer:machsuite-md-knn-0-1-3-3-1-7,4.0,2.92,10432,10432,792,2368,395021,243095
2,1,4,4,1,1,full-stencil2d-outer:machsuite-md-knn-1-0-3-3-0-0,4.0,2.92,10688,10688,504,1184,199872,123871
2,2,1,2,1,2,full-stencil2d-outer:machsuite-md-knn-1-1-0-1-0-1,4.0,2.92,11198,11198,366,592,115253,66615
4,1,2,4,1,1,full-stencil2d-outer:machsuite-md-knn-3-0-1-3-0-0,4.0,2.92,10688,10688,420,1184,199873,123707
1,2,2,2,2,2,full-stencil2d-outer:machsuite-md-knn-0-1-1-1-1-1,4.0,2.92,10686,10686,648,1184,225169,125847
4,2,4,4,4,4,full-stencil2d-outer:machsuite-md-knn-3-1-3-3-3-3,4.0,2.92,10304,10304,1380,4736,785190,471862
4,2,4,4,2,2,full-stencil2d-outer:machsuite-md-knn-3-1-3-3-1-1,4.0,2.92,10432,10432,804,2368,395096,243401
2,1,4,4,1,8,full-stencil2d-outer:machsuite-md-knn-1-0-3-3-0-7,4.0,2.92,10688,10688,504,1184,199872,123871
2,2,2,2,4,1,full-stencil2d-outer:machsuite-md-knn-1-1-1-1-3-0,4.0,2.92,10682,10682,1236,1184,275581,131796
2,4,4,4,2,1,full-stencil2d-outer:machsuite-md-knn-1-3-3-3-1-0,4.0,2.92,10432,10432,804,2368,395051,243687
2,1,1,4,1,1,full-stencil2d-outer:machsuite-md-knn-1-0-0-3-0-0,4.0,2.92,10688,10688,360,1184,199799,121783
4,1,4,4,1,2,full-stencil2d-outer:machsuite-md-knn-3-0-3-3-0-1,4.0,2.92,10688,10688,516,1184,199873,123823
4,2,2,1,1,1,full-stencil2d-outer:machsuite-md-knn-3-1-1-0-0-0,4.0,2.92,12218,12218,378,296,72345,37854
2,4,4,4,4,8,full-stencil2d-outer:machsuite-md-knn-1-3-3-3-3-7,4.0,2.92,10304,10304,1380,4736,785282,472026
2,2,2,1,2,1,full-stencil2d-outer:machsuite-md-knn-1-1-1-0-1-0,4.0,2.92,11194,11194,648,592,140040,68617
2,2,4,4,1,4,full-stencil2d-outer:machsuite-md-knn-1-1-3-3-0-3,4.0,2.92,10688,10688,510,1184,200306,124984
4,4,4,4,1,8,full-stencil2d-outer:machsuite-md-knn-3-3-3-3-0-7,4.0,2.92,10688,10688,534,1184,199972,124146
2,2,2,2,4,2,full-stencil2d-outer:machsuite-md-knn-1-1-1-1-3-1,4.0,2.92,10682,10682,1236,1184,275581,131796
1,1,4,2,1,4,full-stencil2d-outer:machsuite-md-knn-0-0-3-1-0-3,4.0,2.92,11198,11198,402,592,114895,66748
2,4,1,2,1,2,full-stencil2d-outer:machsuite-md-knn-1-3-0-1-0-1,4.0,2.92,11198,11198,378,592,114920,65825
