seqa_bank,seqb_bank,ptr_bank1,ptr_bank2,m_bank1,m_bank2,unrolla,unrollb,bench,target_clock,estimated_clock,min_latency,max_latency,bram_used,dsp48_used,ff_used,lut_used
2,4,4,1,2,1,2,2,nw-estimate::machsuite-nw-1-2-2-0-1-0-1-1,4.0,2.92,66922,72354,68,0,4677,9363
1,2,2,1,2,2,2,2,nw-estimate::machsuite-nw-0-1-1-0-1-1-1-1,4.0,2.92,66922,72354,67,0,4688,9145
1,1,1,4,2,1,2,2,nw-estimate::machsuite-nw-0-0-0-2-1-0-1-1,4.0,2.92,66922,72354,64,0,4520,9235
2,1,1,4,2,2,4,2,nw-estimate::machsuite-nw-1-0-0-2-1-1-2-1,4.0,3.035,54728,60160,71,0,5469,11122
4,2,1,4,2,2,4,2,nw-estimate::machsuite-nw-2-1-0-2-1-1-2-1,4.0,3.035,54728,60160,74,0,5467,11305
4,2,4,2,4,1,2,4,nw-estimate::machsuite-nw-2-1-2-1-2-0-1-2,4.0,2.92,66856,72288,74,0,5044,11734
4,4,4,1,2,2,2,2,nw-estimate::machsuite-nw-2-2-2-0-1-1-1-1,4.0,2.92,66922,72354,76,0,4957,9613
4,2,4,4,4,1,2,4,nw-estimate::machsuite-nw-2-1-2-2-2-0-1-2,4.0,2.92,66856,72288,74,0,5041,12151
2,4,4,2,2,2,4,2,nw-estimate::machsuite-nw-1-2-2-1-1-1-2-1,4.0,3.035,54728,60160,74,0,5573,11299
1,2,4,2,2,2,2,4,nw-estimate::machsuite-nw-0-1-2-1-1-1-1-2,4.0,2.92,66856,72288,71,0,5158,11275
4,4,1,4,1,2,2,2,nw-estimate::machsuite-nw-2-2-0-2-0-1-1-1,4.0,2.92,66922,72354,70,0,4664,9661
2,4,4,4,4,4,4,8,nw-estimate::machsuite-nw-1-2-2-2-2-2-2-3,4.0,3.035,54629,60061,94,0,8278,21157
4,1,4,2,2,1,2,2,nw-estimate::machsuite-nw-2-0-2-1-1-0-1-1,4.0,2.92,66922,72354,67,0,4703,9632
4,2,4,4,4,2,4,4,nw-estimate::machsuite-nw-2-1-2-2-2-1-2-2,4.0,3.035,54662,60094,86,0,6721,15573
2,4,2,4,2,2,4,2,nw-estimate::machsuite-nw-1-2-1-2-1-1-2-1,4.0,3.035,54728,60160,74,0,5443,11399
1,2,2,4,2,2,2,2,nw-estimate::machsuite-nw-0-1-1-2-1-1-1-1,4.0,2.92,66922,72354,71,0,4687,9517
4,2,2,4,2,2,2,2,nw-estimate::machsuite-nw-2-1-1-2-1-1-1-1,4.0,2.92,66922,72354,74,0,4719,9628
1,4,2,4,2,2,2,4,nw-estimate::machsuite-nw-0-2-1-2-1-1-1-2,4.0,2.92,66856,72288,73,0,5072,11732
4,4,1,4,1,4,4,2,nw-estimate::machsuite-nw-2-2-0-2-0-2-2-1,4.0,3.035,54728,60160,76,0,5163,10793
2,2,4,2,2,4,4,4,nw-estimate::machsuite-nw-1-1-2-1-1-2-2-2,4.0,3.035,54662,60094,84,0,6288,14963
2,4,1,4,2,2,2,2,nw-estimate::machsuite-nw-1-2-0-2-1-1-1-1,4.0,2.92,66922,72354,74,0,4717,9494
4,2,4,1,4,1,2,4,nw-estimate::machsuite-nw-2-1-2-0-2-0-1-2,4.0,2.92,66856,72288,74,0,5102,11270
1,4,4,2,4,1,2,4,nw-estimate::machsuite-nw-0-2-2-1-2-0-1-2,4.0,2.92,66856,72288,73,0,4938,11385
2,4,1,4,1,4,4,2,nw-estimate::machsuite-nw-1-2-0-2-0-2-2-1,4.0,3.035,54728,60160,74,0,5085,10698
4,1,1,4,1,2,2,2,nw-estimate::machsuite-nw-2-0-0-2-0-1-1-1,4.0,2.92,66922,72354,67,0,4625,9499
2,2,4,2,2,2,4,2,nw-estimate::machsuite-nw-1-1-2-1-1-1-2-1,4.0,3.035,54728,60160,72,0,5593,11218
4,4,2,4,2,2,4,2,nw-estimate::machsuite-nw-2-2-1-2-1-1-2-1,4.0,3.035,54728,60160,76,0,5521,11584
4,2,4,2,2,4,4,4,nw-estimate::machsuite-nw-2-1-2-1-1-2-2-2,4.0,3.035,54662,60094,86,0,6279,14825
1,2,4,4,2,2,2,2,nw-estimate::machsuite-nw-0-1-2-2-1-1-1-1,4.0,2.92,66922,72354,71,0,4798,9956
2,4,2,4,4,4,4,4,nw-estimate::machsuite-nw-1-2-1-2-2-2-2-2,4.0,3.035,54662,60094,94,0,6761,15181
1,4,1,2,2,2,2,2,nw-estimate::machsuite-nw-0-2-0-1-1-1-1-1,4.0,2.92,66922,72354,69,0,4656,9227
2,1,4,1,2,1,2,2,nw-estimate::machsuite-nw-1-0-2-0-1-0-1-1,4.0,2.92,66922,72354,65,0,4695,9258
2,1,1,4,1,2,2,2,nw-estimate::machsuite-nw-1-0-0-2-0-1-1-1,4.0,2.92,66922,72354,65,0,4609,9370
1,2,1,4,2,2,2,2,nw-estimate::machsuite-nw-0-1-0-2-1-1-1-1,4.0,2.92,66922,72354,71,0,4720,9376
2,4,4,4,4,1,2,4,nw-estimate::machsuite-nw-1-2-2-2-2-0-1-2,4.0,2.92,66856,72288,74,0,5021,12083
4,2,4,1,2,2,2,2,nw-estimate::machsuite-nw-2-1-2-0-1-1-1-1,4.0,2.92,66922,72354,74,0,4895,9484
2,4,4,4,2,4,4,4,nw-estimate::machsuite-nw-1-2-2-2-1-2-2-2,4.0,3.035,54662,60094,86,0,6274,14860
4,2,1,2,1,2,2,2,nw-estimate::machsuite-nw-2-1-0-1-0-1-1-1,4.0,2.92,66922,72354,64,0,4525,9097
4,2,4,4,2,4,8,2,nw-estimate::machsuite-nw-2-1-2-2-1-2-3-1,4.0,3.035,50615,56047,86,0,6869,15132
4,4,2,2,2,2,2,4,nw-estimate::machsuite-nw-2-2-1-1-1-1-1-2,4.0,3.068,66856,72288,76,0,5155,11175
1,1,1,2,2,2,2,2,nw-estimate::machsuite-nw-0-0-0-1-1-1-1-1,4.0,2.92,66922,72354,66,0,4695,9107
1,2,4,1,2,1,2,2,nw-estimate::machsuite-nw-0-1-2-0-1-0-1-1,4.0,2.92,66922,72354,65,0,4643,9163
2,4,4,4,2,2,2,4,nw-estimate::machsuite-nw-1-2-2-2-1-1-1-2,4.0,2.92,66856,72288,74,0,5168,11927
4,1,4,1,2,1,2,2,nw-estimate::machsuite-nw-2-0-2-0-1-0-1-1,4.0,2.92,66922,72354,67,0,4699,9430
2,2,2,2,2,2,4,2,nw-estimate::machsuite-nw-1-1-1-1-1-1-2-1,4.0,3.068,54728,60160,72,0,5367,10737
2,1,1,4,1,4,4,2,nw-estimate::machsuite-nw-1-0-0-2-0-2-2-1,4.0,3.035,54728,60160,71,0,5122,10524
1,1,4,1,2,2,2,2,nw-estimate::machsuite-nw-0-0-2-0-1-1-1-1,4.0,2.92,66922,72354,70,0,4895,9324
4,4,4,2,4,2,2,4,nw-estimate::machsuite-nw-2-2-2-1-2-1-1-2,4.0,2.92,66856,72288,88,0,5332,11449
