orig_d1,orig_d2,filter_d1,filter_d2,ur_loop1,ur_loop2,bench,target_clock,estimated_clock,min_latency,max_latency,bram_used,dsp48_used,ff_used,lut_used
3,6,3,3,3,3,stencil2d-flat-ur:machsuite-stencil-stencil2d-inner-2-5-2-2-2-2,4.0,2.92,57910,57910,59,36,5000,5789
3,3,3,1,3,1,stencil2d-flat-ur:machsuite-stencil-stencil2d-inner-2-2-2-0-2-0,4.0,2.92,447754,447754,38,12,4019,4272
3,1,3,1,3,1,stencil2d-flat-ur:machsuite-stencil-stencil2d-inner-2-0-2-0-2-0,4.0,2.92,260257,260257,41,12,2902,3096
3,6,1,1,1,1,stencil2d-flat-ur:machsuite-stencil-stencil2d-inner-2-5-0-0-0-0,4.0,2.92,713236,713236,36,4,2676,3413
3,3,1,3,1,3,stencil2d-flat-ur:machsuite-stencil-stencil2d-inner-2-2-0-2-0-2,4.0,2.92,189832,189832,38,12,3810,3602
1,1,1,1,1,1,stencil2d-flat-ur:machsuite-stencil-stencil2d-inner-0-0-0-0-0-0,4.0,2.92,291379,291379,36,4,1967,2290
3,6,3,1,3,1,stencil2d-flat-ur:machsuite-stencil-stencil2d-inner-2-5-2-0-2-0,4.0,2.92,447754,447754,38,12,3993,4708
1,2,1,1,1,1,stencil2d-flat-ur:machsuite-stencil-stencil2d-inner-0-1-0-0-0-0,4.0,2.92,291379,291379,40,4,1960,2354
1,6,1,3,1,3,stencil2d-flat-ur:machsuite-stencil-stencil2d-inner-0-5-0-2-0-2,4.0,2.92,127336,127336,44,12,2887,3128
3,2,1,1,1,1,stencil2d-flat-ur:machsuite-stencil-stencil2d-inner-2-1-0-0-0-0,4.0,2.92,525739,525739,42,4,2112,2610
3,1,1,1,1,1,stencil2d-flat-ur:machsuite-stencil-stencil2d-inner-2-0-0-0-0-0,4.0,2.92,525739,525739,39,4,2122,2536
3,3,1,1,1,1,stencil2d-flat-ur:machsuite-stencil-stencil2d-inner-2-2-0-0-0-0,4.0,2.92,713236,713236,36,4,2686,3171
1,3,1,3,1,3,stencil2d-flat-ur:machsuite-stencil-stencil2d-inner-0-2-0-2-0-2,4.0,2.92,127336,127336,41,12,2891,2947
1,3,1,1,1,1,stencil2d-flat-ur:machsuite-stencil-stencil2d-inner-0-2-0-0-0-0,4.0,2.92,478876,478876,39,4,2530,2818
3,2,3,1,3,1,stencil2d-flat-ur:machsuite-stencil-stencil2d-inner-2-1-2-0-2-0,4.0,2.92,260131,260131,44,12,2878,3242
3,6,1,3,1,3,stencil2d-flat-ur:machsuite-stencil-stencil2d-inner-2-5-0-2-0-2,4.0,2.92,189832,189832,56,12,4382,4053
1,6,1,1,1,1,stencil2d-flat-ur:machsuite-stencil-stencil2d-inner-0-5-0-0-0-0,4.0,2.92,478876,478876,42,4,2521,2943
3,3,3,3,3,3,stencil2d-flat-ur:machsuite-stencil-stencil2d-inner-2-2-2-2-2-2,4.0,2.92,57910,57910,41,36,5008,4771
