status,unroll,bench,bram_used,dsp_used,lut_used,lutmem_used,reg_used,uram_used,runtime_avg,runtime_std
ok,4,gemm-aligned-part-misaligned-unroll-1P:gemm-0,769,12,2305,126,3014,0,855.5672999999999,0.0176354756102607
ok,5,gemm-aligned-part-misaligned-unroll-1P:gemm-1,769,15,2606,126,3192,0,853.9883,0.014724469430161783
ok,14,gemm-aligned-part-misaligned-unroll-1P:gemm-10,769,42,3380,126,4428,0,1021.668,0.015362291495754325
ok,15,gemm-aligned-part-misaligned-unroll-1P:gemm-11,769,36,3311,126,4290,0,853.9784,0.00649923072369747
ok,16,gemm-aligned-part-misaligned-unroll-1P:gemm-12,769,48,2887,126,4406,0,763.1942,0.014851262572603842
ok,6,gemm-aligned-part-misaligned-unroll-1P:gemm-2,769,18,2518,126,3278,0,853.9837,0.010498095065322646
ok,7,gemm-aligned-part-misaligned-unroll-1P:gemm-3,769,21,2897,126,3516,0,855.5555,0.009708243919465556
ok,8,gemm-aligned-part-misaligned-unroll-1P:gemm-4,769,24,2433,126,3543,0,855.592,0.01999999999998181
ok,9,gemm-aligned-part-misaligned-unroll-1P:gemm-5,769,27,3055,126,3801,0,992.106,0.0065115282384482776
ok,10,gemm-aligned-part-misaligned-unroll-1P:gemm-6,769,30,2868,126,3619,0,853.9831,0.011903360869943687
ok,11,gemm-aligned-part-misaligned-unroll-1P:gemm-7,769,33,3219,126,4028,0,855.5618999999999,0.014727185746086805
ok,12,gemm-aligned-part-misaligned-unroll-1P:gemm-8,769,36,2772,126,3767,0,947.9311,0.017835077796285688
ok,13,gemm-aligned-part-misaligned-unroll-1P:gemm-9,769,27,3284,126,3400,0,855.5739000000001,0.023458260805102275
