bench,bank11,bank12,bank21,bank22,unroll1,unroll2,unroll3,target_clk,estimate_clk,est_min_lat,est_max_lat,est_bram,est_dsp,est_ff,est_lut,est_read_lat,est_compute_lat,est_write_lat
gemm-dse:gemm-1-2-0-2-3-1-4,2,3,1,3,6,2,8,4.0,2.92,346153,346153,122,1564,118847,54224,32777,296970,16401
gemm-dse:gemm-1-3-1-2-3-3-2,2,4,2,3,6,6,4,4.0,2.92,374568,374568,108,1548,111221,42277,32777,325386,16400
gemm-dse:gemm-1-2-0-0-1-3-4,2,3,1,1,2,6,8,4.0,2.92,573510,573510,115,514,47961,41026,32777,524336,16391
gemm-dse:gemm-3-1-3-0-4-3-0,4,2,4,1,8,6,1,4.0,2.92,11685908,11685908,98,192,20106,20573,32776,11636736,16391
gemm-dse:gemm-1-3-3-1-2-1-3,2,4,4,2,4,2,6,4.0,2.92,114721,114721,98,992,72069,28023,32776,65549,16390
gemm-dse:gemm-0-0-1-3-3-0-3,1,1,2,4,6,1,6,4.0,2.92,2455571,2455571,92,16,4617,5058,32776,2406400,16390
gemm-dse:gemm-1-0-2-0-0-1-1,2,1,3,1,1,2,2,4.0,2.92,1294368,1294368,98,84,11662,13698,32777,1245184,16401
gemm-dse:gemm-3-2-3-2-3-4-0,4,3,4,3,6,8,1,4.0,2.92,10694431,10694431,146,302,61079,43038,32777,10645248,16401
gemm-dse:gemm-3-1-2-3-1-3-3,4,2,3,4,2,6,6,4.0,2.92,245801,245801,114,488,40391,20058,32777,196617,16401
gemm-dse:gemm-2-3-2-1-1-3-1,3,4,3,2,2,6,2,4.0,2.92,376881,376881,140,512,45473,31213,32777,327697,16401
gemm-dse:gemm-3-1-0-1-0-1-1,4,2,1,2,1,2,2,4.0,2.92,311332,311332,96,248,20633,8590,32776,262159,16391
gemm-dse:gemm-1-2-2-0-1-3-4,2,3,3,1,2,6,8,4.0,2.92,589880,589880,122,514,46109,42450,32778,540695,16401
gemm-dse:gemm-2-1-3-0-4-0-1,3,2,4,1,8,1,2,4.0,2.92,1736735,1736735,118,256,26994,26972,32777,1687562,16391
gemm-dse:gemm-3-0-2-3-1-1-4,4,1,3,4,2,2,8,4.0,2.92,311338,311338,114,392,33819,20018,32777,262154,16401
gemm-dse:gemm-1-2-1-0-1-0-4,2,3,2,1,2,1,8,4.0,2.92,2129951,2129951,116,66,11487,8552,32777,2080778,16391
gemm-dse:gemm-3-3-3-1-0-4-0,4,4,4,2,1,8,1,4.0,2.92,7684115,7684115,98,32,4946,5881,32776,7634944,16390
gemm-dse:gemm-0-0-1-3-1-0-2,1,1,2,4,2,1,4,4.0,2.92,2392083,2392083,92,16,3576,3690,32776,2342912,16390
gemm-dse:gemm-2-2-2-0-2-4-3,3,3,3,1,4,8,6,4.0,2.92,688171,688171,110,1026,87158,49189,32778,638986,16401
gemm-dse:gemm-2-0-0-2-1-2-1,3,1,1,3,2,4,2,4.0,2.92,442437,442437,110,514,45032,32129,32778,393252,16401
gemm-dse:gemm-1-2-1-2-3-1-2,2,3,2,3,6,2,4,4.0,2.92,381480,381480,128,1550,114928,53973,32777,332298,16400
gemm-dse:gemm-3-2-2-2-0-0-1,4,3,3,3,1,1,2,4.0,2.92,2146353,2146353,134,50,9368,8595,32778,2097168,16401
gemm-dse:gemm-1-0-3-1-3-4-2,2,1,4,2,6,8,4,4.0,2.92,257299,257299,94,1532,110835,37221,32776,208128,16390
gemm-dse:gemm-0-1-3-0-4-3-4,1,2,4,1,8,6,8,4.0,2.92,241704,241704,94,1992,143502,52788,32776,192531,16391
gemm-dse:gemm-0-1-2-0-4-4-0,1,2,3,1,8,8,1,4.0,2.92,7987231,7987231,98,256,25833,23717,32777,7938048,16401
gemm-dse:gemm-1-0-1-0-3-4-3,2,1,2,1,6,8,6,4.0,2.92,348180,348180,92,1536,108616,35703,32776,299008,16391
gemm-dse:gemm-3-1-2-2-2-4-3,4,2,3,3,4,8,6,4.0,2.92,344107,344107,102,1026,79607,37549,32778,294922,16401
gemm-dse:gemm-1-3-0-1-2-4-2,2,4,1,2,4,8,4,4.0,2.92,311345,311345,96,1024,73375,28443,32776,262172,16391
gemm-dse:gemm-2-0-3-3-4-2-4,3,1,4,4,8,4,8,4.0,2.92,315448,315448,106,2048,150882,64935,32777,266275,16390
gemm-dse:gemm-1-1-1-1-4-4-1,2,2,2,2,8,8,2,4.0,2.92,180276,180276,98,2016,142042,48072,32776,131103,16391
gemm-dse:gemm-3-3-1-3-1-2-1,4,4,2,4,2,4,2,4.0,2.92,114715,114715,98,512,38425,15093,32776,65543,16390
gemm-dse:gemm-2-1-3-0-3-1-3,3,2,4,1,6,2,6,4.0,2.92,348437,348437,118,1308,98578,38447,32777,299264,16391
