status,bram_used,dsp_used,lut_used,lutmem_used,reg_used,uram_used,partition,runtime_avg,runtime_std
ok,865,38,5457,220,4933,0,9,896.4546,0.011324310133523753
ok,769,24,2390,148,3344,0,8,136.82250000000002,0.010613670430161197
ok,769,12,2445,126,3320,0,1,1019.7640000000001,0.004898979485561901
ok,769,24,2676,143,3481,0,2,403.8803,0.018455622449544698
ok,1153,40,4438,206,4386,0,6,544.2141,0.0071056315694112155
ok,961,40,4811,212,4207,0,10,493.8112,0.013219682295727302
ok,961,40,4430,221,4180,0,5,894.8731,0.016250846131820266
ok,1345,40,5912,220,4712,0,7,1184.7959999999998,0.010198039027176293
ok,865,40,3936,209,4482,0,3,894.8734000000001,0.00640624695120785
ok,769,24,2571,143,3294,0,4,275.066,0.010217631819555114
