status,partition,bench,bram_used,dsp_used,lut_used,lutmem_used,reg_used,uram_used,runtime_avg,runtime_std
ok,1,baseline:gemm-baseline,44,3,1535,137,2642,0,10.416369999999999,0.008532531863403687
ok,2,misaligned-partition:gemm-0,46,3,1479,127,2527,0,10.92971,0.00957334319869525
ok,3,misaligned-partition:gemm-1,59,6,1897,176,3076,0,13.16961,0.01089765571120678
ok,4,misaligned-partition:gemm-2,49,3,1496,128,2527,0,10.938699999999999,0.00902407890036405
ok,5,misaligned-partition:gemm-3,61,6,1947,177,3071,0,13.168700000000001,0.009792446068271395
ok,6,misaligned-partition:gemm-4,73,6,2028,177,3070,0,13.165630000000002,0.010361954448848033
ok,7,misaligned-partition:gemm-5,85,6,2013,177,3117,0,13.160050000000002,0.009757074356588643
ok,8,misaligned-partition:gemm-6,49,3,1567,129,2528,0,10.99583,0.013196670034520387
ok,9,misaligned-partition:gemm-7,55,6,2152,178,3052,0,13.23199,0.010465127806195167
ok,10,misaligned-partition:gemm-8,61,6,2218,178,3053,0,13.242320000000001,0.009656479689825042
