status,dsp_used,uram_used,reg_used,lutmem_used,lut_used,bram_used,bench,runtime_avg,runtime_std
ok,6,0,5008,375,3303,1,baseline-runtime:machsuite-stencil-stencil3d,6.707448000000001,0.006875528779664999
ok,11,0,8464,221,4468,2,baseline-runtime:machsuite-gemm-blocked,55.09209,0.006370784881002816
ok,0,0,2617,133,1717,3,baseline-runtime:machsuite-sort-merge,5.494639,0.01472056958816483
ok,33,0,42472,539,29746,2,baseline-runtime:machsuite-md-knn,1.08635,0.010082926162578033
ok,0,0,4520,133,2377,2,baseline-runtime:machsuite-bfs-bulk,2.380474,0.00562033842397418
ok,27,0,4283,145,2622,1,baseline-runtime:machsuite-stencil-stencil2d,7.65385,0.007641228958747548
ok,41,0,19492,532,11106,8,baseline-runtime:machsuite-md-grid,13.159730000000001,0.008964602612497518
ok,11,0,9134,226,5687,2,baseline-runtime:machsuite-spmv-ellpack,0.9305966,0.007706670230391332
ok,38,0,8376,437,4291,2,baseline-runtime:machsuite-fft-strided,11.34294,0.008450704112675834
ok,0,0,17513,564,14603,2,baseline-runtime:machsuite-aes,0.7921216,0.005694112805345538
ok,11,0,28988,1182,16881,2,baseline-runtime:machsuite-gemm-ncubed,28.848180000000003,0.018209272363276678
ok,11,0,5449,226,2646,2,baseline-runtime:machsuite-spmv-crs,1.239944,0.00702216234503307
ok,0,0,3863,122,2671,1,baseline-runtime:machsuite-sort-radix,100.08610000000002,0.01188654701753332
ok,0,0,6037,122,3970,1,baseline-runtime:machsuite-nw,11.24154,0.008060049627638524
ok,0,0,4506,136,2791,3,baseline-runtime:machsuite-bfs-queue,3.4671800000000004,0.010366350370308662
ok,0,0,3583,115,2164,1,baseline-runtime:machsuite-kmp,25.76254,0.007348088186733193
