status,bench,bram_used,dsp_used,lut_used,lutmem_used,reg_used,uram_used
ok,rewrite-hw:machsuite-bfs-bulk,2,0,2512,133,4577,0
ok,rewrite-hw:machsuite-sort-merge,5,0,2165,151,2931,0
ok,rewrite-hw:machsuite-md-grid,8,41,10989,499,19648,0
ok,rewrite-hw:machsuite-stencil-stencil2d,1,27,2446,115,4102,0
ok,rewrite-hw:machsuite-bfs-queue,3,0,2553,135,4261,0
ok,no-fun-prags+no-code-change:machsuite-sort-radix,1,0,2777,122,4022,0
ok,rewrite-hw:machsuite-gemm-blocked,2,11,2288,220,4836,0
ok,rewrite-hw:machsuite-spmv-ellpack,2,11,2432,220,4911,0
ok,rewrite-hw:machsuite-nw,1,0,4090,122,5976,0
ok,rewrite-hw-fixed:machsuite-fft-strided,2,38,4311,437,8396,0
ok,rewrite-hw:machsuite-stencil-stencil3d,1,6,2955,345,4792,0
ok,rewrite-hw:machsuite-gemm-ncubed,2,11,16441,1162,28907,0
ok,rewrite-hw:machsuite-kmp,1,0,2118,115,3589,0
error,rewrite-hw:machsuite-sort-radix,{},{},{},{},{},{}
ok,rewrite-hw:machsuite-spmv-crs,2,11,2646,226,5458,0
ok,rewrite-hw:machsuite-md-knn,2,33,29652,539,42472,0
ok,rewrite-hw-fixed:machsuite-aes,2,0,10029,346,11637,0
