d1,D2,D3,B0X_UR,B0Y_UR,B0Z_UR,bench,target_clock,estimated_clock,min_latency,max_latency,bram_used,dsp48_used,ff_used,lut_used
2,4,2,4,4,2,md-grid-ur:machsuite-md-grid-1-3-1-2-2-1,4.0,3.72,7947,10827,222,20,158049,82716
1,2,4,1,4,4,md-grid-ur:machsuite-md-grid-0-1-3-0-2-2,4.0,3.432,6784,9600,118,20,87495,44042
4,2,2,4,4,2,md-grid-ur:machsuite-md-grid-3-1-1-2-2-1,4.0,3.72,7947,10827,222,20,158049,82588
2,2,4,2,2,4,md-grid-ur:machsuite-md-grid-1-1-3-1-1-2,4.0,3.432,6794,9482,222,20,91795,48406
1,1,2,2,1,2,md-grid-ur:machsuite-md-grid-0-0-1-1-0-1,4.0,3.562,6850,9154,40,20,33060,17429
1,1,1,2,1,1,md-grid-ur:machsuite-md-grid-0-0-0-1-0-0,4.0,3.554,6882,9186,41,20,23278,13356
4,1,1,4,1,2,md-grid-ur:machsuite-md-grid-3-0-0-2-0-1,4.0,3.266,7167,10111,66,20,50178,23589
4,2,4,4,4,4,md-grid-ur:machsuite-md-grid-3-1-3-2-2-2,4.0,3.834,10899,10899,430,20,301246,131992
1,1,4,1,2,4,md-grid-ur:machsuite-md-grid-0-0-3-0-1-2,4.0,3.266,6796,9484,66,20,51205,22708
1,1,1,1,1,2,md-grid-ur:machsuite-md-grid-0-0-0-0-0-1,4.0,3.554,6852,9156,41,20,23273,13312
4,1,2,4,1,2,md-grid-ur:machsuite-md-grid-3-0-1-2-0-1,4.0,3.266,7167,9727,118,20,51287,28284
4,1,2,4,2,2,md-grid-ur:machsuite-md-grid-3-0-1-2-1-1,4.0,3.432,7159,9719,118,20,86683,44317
1,4,2,2,4,2,md-grid-ur:machsuite-md-grid-0-3-1-1-2-1,4.0,3.432,6830,9646,118,20,88918,44095
4,4,2,4,4,2,md-grid-ur:machsuite-md-grid-3-3-1-2-2-1,4.0,3.72,7947,11019,430,20,163055,75124
2,2,4,4,2,4,md-grid-ur:machsuite-md-grid-1-1-3-2-1-2,4.0,3.72,7111,10151,222,20,158944,81536
4,1,1,4,2,1,md-grid-ur:machsuite-md-grid-3-0-0-2-1-0,4.0,3.266,7191,10135,66,20,50086,23613
2,4,4,2,4,4,md-grid-ur:machsuite-md-grid-1-3-3-1-2-2,4.0,3.72,6782,9886,430,20,168757,76309
4,1,4,4,2,4,md-grid-ur:machsuite-md-grid-3-0-3-2-1-2,4.0,3.72,7111,10151,222,20,156357,82288
2,2,1,4,2,1,md-grid-ur:machsuite-md-grid-1-1-0-2-1-0,4.0,3.266,7191,9751,66,20,50163,27893
2,4,1,2,4,2,md-grid-ur:machsuite-md-grid-1-3-0-1-2-1,4.0,3.432,6830,9646,118,20,88457,46541
2,2,1,2,2,1,md-grid-ur:machsuite-md-grid-1-1-0-1-1-0,4.0,3.562,6874,9178,66,20,33394,20337
1,4,1,1,4,1,md-grid-ur:machsuite-md-grid-0-3-0-0-2-0,4.0,3.562,6864,10064,66,20,33071,17296
1,1,2,1,1,2,md-grid-ur:machsuite-md-grid-0-0-1-0-0-1,4.0,3.554,6852,9156,40,20,23786,14274
2,1,2,4,1,2,md-grid-ur:machsuite-md-grid-1-0-1-2-0-1,4.0,3.266,7167,9727,66,20,50426,27790
1,4,4,2,4,4,md-grid-ur:machsuite-md-grid-0-3-3-1-2-2,4.0,3.72,6782,9886,222,20,160770,81814
2,4,1,2,4,1,md-grid-ur:machsuite-md-grid-1-3-0-1-2-0,4.0,3.266,6862,9678,118,20,52077,29464
2,2,2,2,4,2,md-grid-ur:machsuite-md-grid-1-1-1-1-2-1,4.0,3.432,6830,9646,118,20,88752,60151
1,2,2,1,4,2,md-grid-ur:machsuite-md-grid-0-1-1-0-2-1,4.0,3.266,6832,9648,66,20,51541,27328
1,4,1,1,4,2,md-grid-ur:machsuite-md-grid-0-3-0-0-2-1,4.0,3.266,6832,10032,66,20,51279,23352
1,2,1,1,2,1,md-grid-ur:machsuite-md-grid-0-1-0-0-1-0,4.0,3.554,6876,9180,40,20,23774,14411
1,2,1,1,4,1,md-grid-ur:machsuite-md-grid-0-1-0-0-2-0,4.0,3.562,6864,9680,40,20,32745,17116
4,2,1,4,2,1,md-grid-ur:machsuite-md-grid-3-1-0-2-1-0,4.0,3.266,7191,9751,118,20,51272,28400
2,2,1,2,4,1,md-grid-ur:machsuite-md-grid-1-1-0-1-2-0,4.0,3.266,6862,9678,66,20,51328,27552
1,4,1,2,4,1,md-grid-ur:machsuite-md-grid-0-3-0-1-2-0,4.0,3.266,6862,10062,66,20,51166,23391
1,1,2,1,1,4,md-grid-ur:machsuite-md-grid-0-0-1-0-0-2,4.0,3.562,6804,9492,40,20,32780,16692
1,2,1,1,2,2,md-grid-ur:machsuite-md-grid-0-1-0-0-1-1,4.0,3.562,6844,9148,40,20,33054,17587
2,2,1,2,2,2,md-grid-ur:machsuite-md-grid-1-1-0-1-1-1,4.0,3.266,6842,9146,66,20,51826,28489
2,1,4,2,2,4,md-grid-ur:machsuite-md-grid-1-0-3-1-1-2,4.0,3.432,6794,9098,118,20,88320,45373
4,2,1,4,2,2,md-grid-ur:machsuite-md-grid-3-1-0-2-1-1,4.0,3.432,7159,9719,118,20,86784,44389
2,4,1,4,4,1,md-grid-ur:machsuite-md-grid-1-3-0-2-2-0,4.0,3.432,7979,10379,118,20,84376,45777
2,1,4,4,1,4,md-grid-ur:machsuite-md-grid-1-0-3-2-0-2,4.0,3.432,7119,9679,118,20,85007,44609
4,2,4,4,2,4,md-grid-ur:machsuite-md-grid-3-1-3-2-1-2,4.0,3.72,7111,10151,430,20,164333,76612
2,1,2,2,1,4,md-grid-ur:machsuite-md-grid-1-0-1-1-0-2,4.0,3.266,6802,9490,66,20,51519,26780
2,1,2,2,1,2,md-grid-ur:machsuite-md-grid-1-0-1-1-0-1,4.0,3.562,6850,9154,66,20,33543,20146
4,4,1,4,4,2,md-grid-ur:machsuite-md-grid-3-3-0-2-2-1,4.0,3.72,7947,10635,222,20,155521,84604
1,1,1,1,1,1,md-grid-ur:machsuite-md-grid-0-0-0-0-0-0,4.0,3.166,6884,9188,41,20,18853,11966
2,2,2,4,2,2,md-grid-ur:machsuite-md-grid-1-1-1-2-1-1,4.0,3.432,7159,9719,118,20,86279,60803
1,1,1,1,2,1,md-grid-ur:machsuite-md-grid-0-0-0-0-1-0,4.0,3.554,6876,9180,41,20,23277,13209
1,1,4,1,1,4,md-grid-ur:machsuite-md-grid-0-0-3-0-0-2,4.0,3.562,6804,9492,66,20,33139,16894
2,1,4,2,1,4,md-grid-ur:machsuite-md-grid-1-0-3-1-0-2,4.0,3.266,6802,9106,118,20,52218,28802
2,2,2,2,2,2,md-grid-ur:machsuite-md-grid-1-1-1-1-1-1,4.0,3.266,6842,9146,118,20,52740,37310
4,4,2,4,4,4,md-grid-ur:machsuite-md-grid-3-3-1-2-2-2,4.0,3.834,11739,11739,430,20,300652,125632
4,1,4,4,1,4,md-grid-ur:machsuite-md-grid-3-0-3-2-0-2,4.0,3.432,7119,10159,222,20,87196,48344
2,1,2,2,2,2,md-grid-ur:machsuite-md-grid-1-0-1-1-1-1,4.0,3.266,6842,9146,66,20,52059,28104
2,1,1,4,1,1,md-grid-ur:machsuite-md-grid-1-0-0-2-0-0,4.0,3.562,7199,9759,40,20,32233,17422
2,2,4,2,4,4,md-grid-ur:machsuite-md-grid-1-1-3-1-2-2,4.0,3.72,6782,10078,222,20,163764,80445
1,1,2,1,2,2,md-grid-ur:machsuite-md-grid-0-0-1-0-1-1,4.0,3.562,6844,9148,40,20,33050,17351
4,1,1,4,1,1,md-grid-ur:machsuite-md-grid-3-0-0-2-0-0,4.0,3.562,7199,10143,66,20,32546,17533
4,4,1,4,4,1,md-grid-ur:machsuite-md-grid-3-3-0-2-2-0,4.0,3.432,7979,10667,222,20,86368,49794
1,1,4,2,1,4,md-grid-ur:machsuite-md-grid-0-0-3-1-0-2,4.0,3.266,6802,9490,66,20,51185,22714
1,2,2,1,2,2,md-grid-ur:machsuite-md-grid-0-1-1-0-1-1,4.0,3.562,6844,9148,66,20,33538,20049
1,2,4,1,2,4,md-grid-ur:machsuite-md-grid-0-1-3-0-1-2,4.0,3.266,6796,9100,118,20,52240,28767
4,4,4,4,4,4,md-grid-ur:machsuite-md-grid-3-3-3-2-2-2,4.0,3.834,11259,11259,798,20,307083,125002
2,4,2,2,4,4,md-grid-ur:machsuite-md-grid-1-3-1-1-2-2,4.0,3.72,6782,10558,222,20,163461,79699
1,2,2,2,2,2,md-grid-ur:machsuite-md-grid-0-1-1-1-1-1,4.0,3.266,6842,9146,66,20,52067,28076
1,4,2,1,4,4,md-grid-ur:machsuite-md-grid-0-3-1-0-2-2,4.0,3.432,6784,10080,118,20,87776,41690
1,2,1,2,2,1,md-grid-ur:machsuite-md-grid-0-1-0-1-1-0,4.0,3.562,6874,9178,40,20,33047,17588
2,1,1,2,2,1,md-grid-ur:machsuite-md-grid-1-0-0-1-1-0,4.0,3.562,6874,9178,40,20,33063,17476
1,2,2,1,2,4,md-grid-ur:machsuite-md-grid-0-1-1-0-1-2,4.0,3.266,6796,9484,66,20,51520,26749
2,2,2,2,2,4,md-grid-ur:machsuite-md-grid-1-1-1-1-1-2,4.0,3.432,6794,9482,118,20,88704,59003
1,4,2,1,4,2,md-grid-ur:machsuite-md-grid-0-3-1-0-2-1,4.0,3.266,6832,9648,118,20,52394,28047
2,4,2,2,4,2,md-grid-ur:machsuite-md-grid-1-3-1-1-2-1,4.0,3.432,6830,10030,222,20,91646,49292
2,1,1,2,1,2,md-grid-ur:machsuite-md-grid-1-0-0-1-0-1,4.0,3.562,6850,9154,40,20,33059,17684
4,1,2,4,1,4,md-grid-ur:machsuite-md-grid-3-0-1-2-0-2,4.0,3.432,7119,10159,118,20,85547,42029
4,2,2,4,2,4,md-grid-ur:machsuite-md-grid-3-1-1-2-1-2,4.0,3.72,7111,10631,222,20,159033,80048
2,4,4,4,4,4,md-grid-ur:machsuite-md-grid-1-3-3-2-2-2,4.0,3.834,10659,10659,430,20,301213,132112
4,2,2,4,2,2,md-grid-ur:machsuite-md-grid-3-1-1-2-1-1,4.0,3.432,7159,10103,222,20,89405,49348
4,2,1,4,4,1,md-grid-ur:machsuite-md-grid-3-1-0-2-2-0,4.0,3.432,7979,10379,118,20,84944,43409
2,1,1,2,1,1,md-grid-ur:machsuite-md-grid-1-0-0-1-0-0,4.0,3.554,6882,9186,40,20,23783,14507
