force,pos,j_d1,j_d2,ur_loop1,ur_loop2,bench,target_clock,estimated_clock,min_latency,max_latency,bram_used,dsp48_used,ff_used,lut_used
2,1,4,4,1,4,md-knn-ur:machsuite-md-knn-1-0-3-3-0-3,4.0,2.92,16564,16564,504,1184,198302,122470
1,1,1,4,2,4,md-knn-ur:machsuite-md-knn-0-0-0-3-1-3,4.0,2.92,16562,16562,648,1184,223609,124276
4,1,2,1,1,2,md-knn-ur:machsuite-md-knn-3-0-1-0-0-1,4.0,2.92,18094,18094,372,296,70767,36021
4,4,4,4,2,1,md-knn-ur:machsuite-md-knn-3-3-3-3-1-0,4.0,3.554,128651,128651,166,14,13522,10659
2,4,4,4,2,8,md-knn-ur:machsuite-md-knn-1-3-3-3-1-7,4.0,2.92,16308,16308,804,2368,393401,242254
4,1,2,2,2,2,md-knn-ur:machsuite-md-knn-3-0-1-1-1-1,4.0,2.92,16562,16562,660,1184,223596,124494
2,1,2,2,2,4,md-knn-ur:machsuite-md-knn-1-0-1-1-1-3,4.0,2.92,16562,16562,648,1184,223530,124396
2,1,4,2,1,1,md-knn-ur:machsuite-md-knn-1-0-3-1-0-0,4.0,3.166,128779,128779,88,14,12615,8956
2,2,2,4,1,2,md-knn-ur:machsuite-md-knn-1-1-1-3-0-1,4.0,2.92,20660,20660,414,1184,198723,123499
1,2,4,4,2,8,md-knn-ur:machsuite-md-knn-0-1-3-3-1-7,4.0,2.92,20404,20404,792,2368,393441,241726
1,1,4,4,2,4,md-knn-ur:machsuite-md-knn-0-0-3-3-1-3,4.0,2.92,16308,16308,792,2368,393455,241538
1,2,2,1,1,1,md-knn-ur:machsuite-md-knn-0-1-1-0-0-0,4.0,3.166,132875,132875,88,14,12699,9060
1,1,4,2,2,4,md-knn-ur:machsuite-md-knn-0-0-3-1-1-3,4.0,2.92,16562,16562,696,1184,223604,126892
2,4,1,2,1,4,md-knn-ur:machsuite-md-knn-1-3-0-1-0-3,4.0,2.92,17074,17074,378,592,113343,64424
4,1,4,4,1,4,md-knn-ur:machsuite-md-knn-3-0-3-3-0-3,4.0,2.92,16564,16564,516,1184,198303,122422
2,4,4,1,1,1,md-knn-ur:machsuite-md-knn-1-3-3-0-0-0,4.0,3.166,128779,128779,106,14,12641,9030
1,4,4,4,2,4,md-knn-ur:machsuite-md-knn-0-3-3-3-1-3,4.0,2.92,16308,16308,804,2368,393392,242028
2,1,4,2,1,2,md-knn-ur:machsuite-md-knn-1-0-3-1-0-1,4.0,2.92,17074,17074,408,592,113324,65581
4,1,1,4,1,8,md-knn-ur:machsuite-md-knn-3-0-0-3-0-7,4.0,2.92,16564,16564,372,1184,198303,120366
4,1,1,1,1,1,md-knn-ur:machsuite-md-knn-3-0-0-0-0-0,4.0,3.166,128779,128779,97,14,12626,8479
1,2,4,1,2,2,md-knn-ur:machsuite-md-knn-0-1-3-0-1-1,4.0,2.92,21166,21166,648,592,138522,68547
4,1,1,4,2,2,md-knn-ur:machsuite-md-knn-3-0-0-3-1-1,4.0,2.92,16562,16562,660,1184,223604,124480
2,4,2,1,2,2,md-knn-ur:machsuite-md-knn-1-3-1-0-1-1,4.0,2.92,17070,17070,660,592,138483,67609
4,2,4,4,4,4,md-knn-ur:machsuite-md-knn-3-1-3-3-3-3,4.0,2.92,20276,20276,1380,4736,783610,470493
2,4,4,1,4,2,md-knn-ur:machsuite-md-knn-1-3-3-0-3-1,4.0,2.92,16558,16558,1236,1184,273947,130378
2,1,2,4,2,4,md-knn-ur:machsuite-md-knn-1-0-1-3-1-3,4.0,2.92,16308,16308,696,2368,393381,237022
1,2,1,2,1,2,md-knn-ur:machsuite-md-knn-0-1-0-1-0-1,4.0,2.92,21170,21170,360,592,113382,64404
1,1,1,4,1,1,md-knn-ur:machsuite-md-knn-0-0-0-3-0-0,4.0,3.166,128779,128779,82,14,12624,8496
4,4,2,4,2,2,md-knn-ur:machsuite-md-knn-3-3-1-3-1-1,4.0,2.92,16308,16308,720,2368,393468,237730
2,2,4,2,2,2,md-knn-ur:machsuite-md-knn-1-1-3-1-1-1,4.0,2.92,20658,20658,696,1184,223601,127306
2,4,4,4,2,1,md-knn-ur:machsuite-md-knn-1-3-3-3-1-0,4.0,3.554,128651,128651,154,14,13529,10707
2,2,4,2,1,1,md-knn-ur:machsuite-md-knn-1-1-3-1-0-0,4.0,3.166,132875,132875,94,14,12692,9461
1,2,4,1,2,1,md-knn-ur:machsuite-md-knn-0-1-3-0-1-0,4.0,3.554,132747,132747,88,14,13576,9529
1,2,2,2,1,1,md-knn-ur:machsuite-md-knn-0-1-1-1-0-0,4.0,3.166,132875,132875,88,14,12700,9527
2,2,4,4,1,2,md-knn-ur:machsuite-md-knn-1-1-3-3-0-1,4.0,2.92,20660,20660,510,1184,198726,123615
2,4,4,1,2,2,md-knn-ur:machsuite-md-knn-1-3-3-0-1-1,4.0,2.92,17070,17070,660,592,138482,69075
2,4,4,2,4,2,md-knn-ur:machsuite-md-knn-1-3-3-1-3-1,4.0,2.92,16306,16306,1284,2368,444035,245281
1,2,1,4,1,8,md-knn-ur:machsuite-md-knn-0-1-0-3-0-7,4.0,2.92,20660,20660,360,1184,198360,120685
2,1,2,2,2,1,md-knn-ur:machsuite-md-knn-1-0-1-1-1-0,4.0,3.554,128651,128651,88,14,13299,9350
1,4,4,2,1,2,md-knn-ur:machsuite-md-knn-0-3-3-1-0-1,4.0,2.92,17074,17074,420,592,113333,65638
2,4,4,1,1,2,md-knn-ur:machsuite-md-knn-1-3-3-0-0-1,4.0,2.92,18094,18094,378,296,70785,36704
4,2,4,4,2,8,md-knn-ur:machsuite-md-knn-3-1-3-3-1-7,4.0,2.92,20404,20404,804,2368,393516,242032
4,4,4,4,4,2,md-knn-ur:machsuite-md-knn-3-3-3-3-3-1,4.0,2.92,16180,16180,1380,4736,783561,470410
1,2,2,2,1,2,md-knn-ur:machsuite-md-knn-0-1-1-1-0-1,4.0,2.92,21170,21170,360,592,113382,65692
2,1,2,2,1,2,md-knn-ur:machsuite-md-knn-1-0-1-1-0-1,4.0,2.92,17074,17074,360,592,113323,65241
1,2,2,4,2,1,md-knn-ur:machsuite-md-knn-0-1-1-3-1-0,4.0,3.554,132747,132747,88,14,13584,9403
4,1,4,2,1,1,md-knn-ur:machsuite-md-knn-3-0-3-1-0-0,4.0,3.166,128779,128779,100,14,12623,8860
1,4,4,1,2,1,md-knn-ur:machsuite-md-knn-0-3-3-0-1-0,4.0,3.554,128651,128651,100,14,13533,9815
2,1,2,4,2,1,md-knn-ur:machsuite-md-knn-1-0-1-3-1-0,4.0,3.554,128651,128651,88,14,13301,9251
4,2,2,4,4,4,md-knn-ur:machsuite-md-knn-3-1-1-3-3-3,4.0,2.92,20402,20402,1284,2368,444020,245168
1,4,4,4,2,1,md-knn-ur:machsuite-md-knn-0-3-3-3-1-0,4.0,3.554,128651,128651,148,14,13536,10544
4,1,2,2,1,1,md-knn-ur:machsuite-md-knn-3-0-1-1-0-0,4.0,3.166,128779,128779,100,14,12617,9208
2,2,4,1,1,2,md-knn-ur:machsuite-md-knn-1-1-3-0-0-1,4.0,2.92,22190,22190,366,296,71190,37238
2,1,4,4,2,8,md-knn-ur:machsuite-md-knn-1-0-3-3-1-7,4.0,2.92,16308,16308,792,2368,393382,241644
1,2,1,1,1,2,md-knn-ur:machsuite-md-knn-0-1-0-0-0-1,4.0,2.92,22190,22190,357,296,70834,35675
2,2,2,4,1,1,md-knn-ur:machsuite-md-knn-1-1-1-3-0-0,4.0,3.166,132875,132875,94,14,12700,9653
2,1,4,4,2,1,md-knn-ur:machsuite-md-knn-1-0-3-3-1-0,4.0,3.554,128651,128651,136,14,13304,10106
2,2,2,2,1,2,md-knn-ur:machsuite-md-knn-1-1-1-1-0-1,4.0,2.92,21170,21170,366,592,113745,66386
4,2,2,4,2,1,md-knn-ur:machsuite-md-knn-3-1-1-3-1-0,4.0,3.554,132747,132747,106,14,13579,9536
4,4,4,4,2,4,md-knn-ur:machsuite-md-knn-3-3-3-3-1-3,4.0,2.92,16308,16308,816,2368,393467,242334
4,2,2,2,4,2,md-knn-ur:machsuite-md-knn-3-1-1-1-3-1,4.0,2.92,20654,20654,1236,1184,273931,130315
2,1,1,2,1,4,md-knn-ur:machsuite-md-knn-1-0-0-1-0-3,4.0,2.92,17074,17074,360,592,113324,64133
4,1,2,4,1,4,md-knn-ur:machsuite-md-knn-3-0-1-3-0-3,4.0,2.92,16564,16564,420,1184,198303,122306
2,2,2,1,1,2,md-knn-ur:machsuite-md-knn-1-1-1-0-0-1,4.0,2.92,22190,22190,366,296,71187,36894
4,4,4,2,4,2,md-knn-ur:machsuite-md-knn-3-3-3-1-3-1,4.0,2.92,16306,16306,1284,2368,443964,245098
2,2,4,4,2,2,md-knn-ur:machsuite-md-knn-1-1-3-3-1-1,4.0,2.92,20404,20404,792,2368,393452,241952
2,2,1,1,1,1,md-knn-ur:machsuite-md-knn-1-1-0-0-0-0,4.0,3.166,132875,132875,91,14,12702,9032
2,4,2,1,1,2,md-knn-ur:machsuite-md-knn-1-3-1-0-0-1,4.0,2.92,18094,18094,378,296,70786,36360
4,2,2,4,2,2,md-knn-ur:machsuite-md-knn-3-1-1-3-1-1,4.0,2.92,20404,20404,708,2368,393515,237428
2,1,4,2,2,4,md-knn-ur:machsuite-md-knn-1-0-3-1-1-3,4.0,2.92,16562,16562,696,1184,223531,126998
2,1,2,1,1,2,md-knn-ur:machsuite-md-knn-1-0-1-0-0-1,4.0,2.92,18094,18094,360,296,70765,36069
1,2,4,4,1,1,md-knn-ur:machsuite-md-knn-0-1-3-3-0-0,4.0,3.166,132875,132875,136,14,12692,9681
4,2,2,1,2,1,md-knn-ur:machsuite-md-knn-3-1-1-0-1-0,4.0,3.554,132747,132747,106,14,13576,9179
1,4,1,2,1,4,md-knn-ur:machsuite-md-knn-0-3-0-1-0-3,4.0,2.92,17074,17074,372,592,113333,64190
2,1,4,2,2,1,md-knn-ur:machsuite-md-knn-1-0-3-1-1-0,4.0,3.554,128651,128651,88,14,13304,10321
2,4,4,2,2,1,md-knn-ur:machsuite-md-knn-1-3-3-1-1-0,4.0,3.554,128651,128651,106,14,13529,10922
1,4,1,2,1,1,md-knn-ur:machsuite-md-knn-0-3-0-1-0-0,4.0,3.166,128779,128779,100,14,12642,8837
2,1,1,4,2,2,md-knn-ur:machsuite-md-knn-1-0-0-3-1-1,4.0,2.92,16562,16562,648,1184,223538,124382
4,1,1,4,1,2,md-knn-ur:machsuite-md-knn-3-0-0-3-0-1,4.0,2.92,16564,16564,372,1184,198303,120366
1,1,2,4,1,2,md-knn-ur:machsuite-md-knn-0-0-1-3-0-1,4.0,2.92,16564,16564,402,1184,198301,122120
1,4,2,1,2,2,md-knn-ur:machsuite-md-knn-0-3-1-0-1-1,4.0,2.92,17070,17070,660,592,138472,67383
1,1,2,2,1,1,md-knn-ur:machsuite-md-knn-0-0-1-1-0-0,4.0,3.166,128779,128779,82,14,12624,9022
4,2,4,2,2,1,md-knn-ur:machsuite-md-knn-3-1-3-1-1-0,4.0,3.554,132747,132747,106,14,13572,10588
4,4,4,4,2,2,md-knn-ur:machsuite-md-knn-3-3-3-3-1-1,4.0,2.92,16308,16308,816,2368,393467,242334
1,1,4,2,2,1,md-knn-ur:machsuite-md-knn-0-0-3-1-1-0,4.0,3.554,128651,128651,82,14,13311,10150
4,4,4,4,1,8,md-knn-ur:machsuite-md-knn-3-3-3-3-0-7,4.0,2.92,16564,16564,534,1184,198322,122713
2,2,2,1,1,1,md-knn-ur:machsuite-md-knn-1-1-1-0-0-0,4.0,3.166,132875,132875,94,14,12699,9294
1,4,1,1,1,1,md-knn-ur:machsuite-md-knn-0-3-0-0-0-0,4.0,3.166,128779,128779,97,14,12652,8584
2,4,1,4,2,4,md-knn-ur:machsuite-md-knn-1-3-0-3-1-3,4.0,2.92,16562,16562,660,1184,223557,125018
2,2,2,1,4,1,md-knn-ur:machsuite-md-knn-1-1-1-0-3-0,4.0,3.562,132683,132683,94,14,14562,9906
1,2,1,4,1,1,md-knn-ur:machsuite-md-knn-0-1-0-3-0-0,4.0,3.166,132875,132875,88,14,12692,9001
4,2,2,4,1,4,md-knn-ur:machsuite-md-knn-3-1-1-3-0-3,4.0,2.92,20660,20660,426,1184,198371,122811
1,1,2,1,2,1,md-knn-ur:machsuite-md-knn-0-0-1-0-1-0,4.0,3.554,128651,128651,82,14,13305,8723
4,2,4,1,4,1,md-knn-ur:machsuite-md-knn-3-1-3-0-3-0,4.0,3.562,132683,132683,106,14,14948,9853
2,1,4,1,1,2,md-knn-ur:machsuite-md-knn-1-0-3-0-0-1,4.0,2.92,18094,18094,360,296,70766,36413
1,1,1,4,2,2,md-knn-ur:machsuite-md-knn-0-0-0-3-1-1,4.0,2.92,16562,16562,648,1184,223609,124276
4,1,2,2,1,4,md-knn-ur:machsuite-md-knn-3-0-1-1-0-3,4.0,2.92,17074,17074,372,592,113325,65193
4,1,1,2,2,1,md-knn-ur:machsuite-md-knn-3-0-0-1-1-0,4.0,3.554,128651,128651,100,14,13307,9248
2,2,2,2,4,1,md-knn-ur:machsuite-md-knn-1-1-1-1-3-0,4.0,3.562,132683,132683,94,14,14948,10814
4,4,1,4,1,8,md-knn-ur:machsuite-md-knn-3-3-0-3-0-7,4.0,2.92,16564,16564,390,1184,198322,120657
4,4,2,2,2,1,md-knn-ur:machsuite-md-knn-3-3-1-1-1-0,4.0,3.554,128651,128651,118,14,13514,9921
4,1,1,2,1,2,md-knn-ur:machsuite-md-knn-3-0-0-1-0-1,4.0,2.92,17074,17074,372,592,113325,64085
1,2,1,2,2,1,md-knn-ur:machsuite-md-knn-0-1-0-1-1-0,4.0,3.554,132747,132747,88,14,13581,9430
4,2,4,2,1,4,md-knn-ur:machsuite-md-knn-3-1-3-1-0-3,4.0,2.92,21170,21170,426,592,113394,66038
4,2,4,1,4,2,md-knn-ur:machsuite-md-knn-3-1-3-0-3-1,4.0,2.92,20654,20654,1236,1184,273925,130342
1,1,2,2,2,1,md-knn-ur:machsuite-md-knn-0-0-1-1-1-0,4.0,3.554,128651,128651,82,14,13306,9179
2,4,1,2,2,2,md-knn-ur:machsuite-md-knn-1-3-0-1-1-1,4.0,2.92,17070,17070,660,592,138488,67589
4,2,2,2,2,2,md-knn-ur:machsuite-md-knn-3-1-1-1-1-1,4.0,2.92,20658,20658,660,1184,223664,124802
4,1,1,2,1,4,md-knn-ur:machsuite-md-knn-3-0-0-1-0-3,4.0,2.92,17074,17074,372,592,113325,64085
4,1,4,4,2,4,md-knn-ur:machsuite-md-knn-3-0-3-3-1-3,4.0,2.92,16308,16308,804,2368,393448,241724
4,4,4,4,8,1,md-knn-ur:machsuite-md-knn-3-3-3-3-7-0,4.0,3.266,128555,128555,166,14,18031,12326
1,2,2,4,2,8,md-knn-ur:machsuite-md-knn-0-1-1-3-1-7,4.0,2.92,20404,20404,696,2368,393440,237104
2,2,2,2,1,4,md-knn-ur:machsuite-md-knn-1-1-1-1-0-3,4.0,2.92,21170,21170,366,592,113745,66386
2,2,2,4,1,8,md-knn-ur:machsuite-md-knn-1-1-1-3-0-7,4.0,2.92,20660,20660,414,1184,198723,123499
1,4,4,2,2,4,md-knn-ur:machsuite-md-knn-0-3-3-1-1-3,4.0,2.92,16562,16562,708,1184,223541,127382
2,4,4,2,2,4,md-knn-ur:machsuite-md-knn-1-3-3-1-1-3,4.0,2.92,16562,16562,708,1184,223550,127608
2,1,2,4,1,4,md-knn-ur:machsuite-md-knn-1-0-1-3-0-3,4.0,2.92,16564,16564,408,1184,198301,122354
4,4,4,4,8,4,md-knn-ur:machsuite-md-knn-3-3-3-3-7-3,4.0,2.92,16178,16178,2556,4736,885046,486264
1,1,2,4,1,1,md-knn-ur:machsuite-md-knn-0-0-1-3-0-0,4.0,3.166,128779,128779,82,14,12624,8914
4,4,2,4,1,2,md-knn-ur:machsuite-md-knn-3-3-1-3-0-1,4.0,2.92,16564,16564,438,1184,198322,122597
1,1,2,2,2,2,md-knn-ur:machsuite-md-knn-0-0-1-1-1-1,4.0,2.92,16562,16562,648,1184,223601,124290
2,2,2,4,2,2,md-knn-ur:machsuite-md-knn-1-1-1-3-1-1,4.0,2.92,20404,20404,696,2368,393449,237330
4,4,4,1,8,1,md-knn-ur:machsuite-md-knn-3-3-3-0-7-0,4.0,3.266,128555,128555,118,14,17249,11141
1,2,1,4,2,1,md-knn-ur:machsuite-md-knn-0-1-0-3-1-0,4.0,3.554,132747,132747,88,14,13583,9278
2,4,2,4,1,2,md-knn-ur:machsuite-md-knn-1-3-1-3-0-1,4.0,2.92,16564,16564,426,1184,198322,122645
2,2,2,4,4,2,md-knn-ur:machsuite-md-knn-1-1-1-3-3-1,4.0,2.92,20402,20402,1284,2368,444090,245344
4,1,4,4,1,2,md-knn-ur:machsuite-md-knn-3-0-3-3-0-1,4.0,2.92,16564,16564,516,1184,198303,122422
1,4,2,2,2,4,md-knn-ur:machsuite-md-knn-0-3-1-1-1-3,4.0,2.92,16562,16562,660,1184,223540,124798
4,1,1,1,1,2,md-knn-ur:machsuite-md-knn-3-0-0-0-0-1,4.0,2.92,18094,18094,369,296,70777,35356
1,4,1,4,2,2,md-knn-ur:machsuite-md-knn-0-3-0-3-1-1,4.0,2.92,16562,16562,660,1184,223619,124912
4,2,4,2,2,2,md-knn-ur:machsuite-md-knn-3-1-3-1-1-1,4.0,2.92,20658,20658,708,1184,223665,127386
1,1,1,2,1,4,md-knn-ur:machsuite-md-knn-0-0-0-1-0-3,4.0,2.92,17074,17074,354,592,113323,63899
4,1,1,2,2,2,md-knn-ur:machsuite-md-knn-3-0-0-1-1-1,4.0,2.92,17070,17070,660,592,138535,66987
1,4,1,4,2,1,md-knn-ur:machsuite-md-knn-0-3-0-3-1-0,4.0,3.554,128651,128651,100,14,13528,9582
4,1,4,2,2,1,md-knn-ur:machsuite-md-knn-3-0-3-1-1-0,4.0,3.554,128651,128651,100,14,13304,10273
2,1,2,1,1,1,md-knn-ur:machsuite-md-knn-1-0-1-0-0-0,4.0,3.166,128779,128779,88,14,12623,8789
4,1,1,4,2,4,md-knn-ur:machsuite-md-knn-3-0-0-3-1-3,4.0,2.92,16562,16562,660,1184,223604,124480
2,4,4,2,1,2,md-knn-ur:machsuite-md-knn-1-3-3-1-0-1,4.0,2.92,17074,17074,426,592,113343,65872
1,4,2,2,1,2,md-knn-ur:machsuite-md-knn-0-3-1-1-0-1,4.0,2.92,17074,17074,372,592,113333,65478
2,4,2,4,2,2,md-knn-ur:machsuite-md-knn-1-3-1-3-1-1,4.0,2.92,16308,16308,708,2368,393402,237650
4,2,1,4,1,4,md-knn-ur:machsuite-md-knn-3-1-0-3-0-3,4.0,2.92,20660,20660,378,1184,198372,120871
4,2,4,4,1,8,md-knn-ur:machsuite-md-knn-3-1-3-3-0-7,4.0,2.92,20660,20660,522,1184,198372,122927
2,1,2,1,2,2,md-knn-ur:machsuite-md-knn-1-0-1-0-1-1,4.0,2.92,17070,17070,648,592,138462,66981
4,4,2,4,1,1,md-knn-ur:machsuite-md-knn-3-3-1-3-0-0,4.0,3.166,128779,128779,118,14,12645,9391
4,1,2,1,1,1,md-knn-ur:machsuite-md-knn-3-0-1-0-0-0,4.0,3.166,128779,128779,100,14,12616,8741
4,4,4,2,2,4,md-knn-ur:machsuite-md-knn-3-3-3-1-1-3,4.0,2.92,16562,16562,720,1184,223616,127688
1,4,4,4,2,8,md-knn-ur:machsuite-md-knn-0-3-3-3-1-7,4.0,2.92,16308,16308,804,2368,393392,242028
4,2,2,4,4,1,md-knn-ur:machsuite-md-knn-3-1-1-3-3-0,4.0,3.562,132683,132683,106,14,14967,10335
2,4,1,4,1,8,md-knn-ur:machsuite-md-knn-1-3-0-3-0-7,4.0,2.92,16564,16564,378,1184,198321,120705
1,4,2,4,1,8,md-knn-ur:machsuite-md-knn-0-3-1-3-0-7,4.0,2.92,16564,16564,420,1184,198311,122771
2,1,4,4,1,8,md-knn-ur:machsuite-md-knn-1-0-3-3-0-7,4.0,2.92,16564,16564,504,1184,198302,122470
1,4,1,4,1,4,md-knn-ur:machsuite-md-knn-0-3-0-3-0-3,4.0,2.92,16564,16564,372,1184,198311,120471
1,2,4,4,2,4,md-knn-ur:machsuite-md-knn-0-1-3-3-1-3,4.0,2.92,20404,20404,792,2368,393441,241726
1,2,4,1,1,1,md-knn-ur:machsuite-md-knn-0-1-3-0-0-0,4.0,3.166,132875,132875,88,14,12691,9010
4,2,2,2,4,1,md-knn-ur:machsuite-md-knn-3-1-1-1-3-0,4.0,3.562,132683,132683,106,14,14963,10640
