status,bram_used,dsp_used,lut_used,lutmem_used,reg_used,uram_used,unroll,runtime_avg,runtime_std
error,769,15,2975,145,3446,0,5,761.807,0.0
ok,769,24,2390,148,3344,0,8,136.82920000000001,0.008919641248386661
ok,769,6,2299,146,2756,0,2,403.87649999999996,0.009330058949434599
error,769,30,3513,145,3764,0,11,855.565,0.0
error,769,42,4906,145,3868,0,14,243.63,0.0
ok,769,27,3386,145,3965,0,9,761.8226999999999,0.021340337391887503
error,769,18,3233,145,3411,0,6,286.446,0.0
ok,769,12,2250,148,3033,0,4,226.3155,0.01190168055360011
ok,769,39,3505,145,4034,0,13,855.5724,0.015415576538024117
ok,769,48,2890,145,4001,0,16,152.4681,0.012980369794423267
ok,769,30,3880,145,3571,0,10,212.2335,0.007774959806969539
ok,769,30,3646,145,4275,0,15,857.1379000000001,0.0260132658464852
ok,769,21,3278,145,3511,0,7,765.4137000000001,0.016389325794564983
error,769,36,3120,145,3796,0,12,249.996,0.0
ok,769,3,2134,148,2814,0,1,671.1753,0.02052827318603018
error,769,9,2596,145,3163,0,3,854.005,0.0
