status,est_avg_lat,est_lut,bench,unroll,est_bram,bank2,est_min_lat,est_dsp,resource1,resource2,est_max_lat,est_ff,bank1
ok,8911,5606,test:dot-product-5-2-14-0-1,24,28,3,8911,120,RAM_1P_BRAM,RAM_T2P_BRAM,8911,10507,6
ok,9593,4240,test:dot-product-2-7-5-0-1,6,32,8,9593,48,RAM_1P_BRAM,RAM_T2P_BRAM,9593,6612,3
ok,15903,6528,test:dot-product-4-4-6-0-0,8,24,5,15903,40,RAM_1P_BRAM,RAM_1P_BRAM,15903,8307,5
ok,10272,5526,test:dot-product-0-7-13-1-0,20,20,8,10272,80,RAM_T2P_BRAM,RAM_1P_BRAM,10272,9167,1
ok,9078,12759,test:dot-product-4-5-15-1-0,25,26,6,9078,300,RAM_T2P_BRAM,RAM_1P_BRAM,9078,32321,5
ok,69644,2446,test:dot-product-7-3-0-1-0,1,20,4,69644,4,RAM_T2P_BRAM,RAM_1P_BRAM,69644,1962,8
ok,9592,3132,test:dot-product-2-2-5-1-0,6,28,3,9592,30,RAM_T2P_BRAM,RAM_1P_BRAM,9592,3976,3
ok,10314,23292,test:dot-product-6-4-9-1-0,12,28,5,10314,144,RAM_T2P_BRAM,RAM_1P_BRAM,10314,33494,7
ok,15903,6424,test:dot-product-3-6-6-0-1,8,26,7,15903,40,RAM_1P_BRAM,RAM_T2P_BRAM,15903,8239,4
ok,10311,14298,test:dot-product-2-1-13-0-1,20,24,2,10311,160,RAM_1P_BRAM,RAM_T2P_BRAM,10311,26741,3
ok,10274,5380,test:dot-product-1-5-14-0-1,24,24,6,10274,120,RAM_1P_BRAM,RAM_T2P_BRAM,10274,9840,2
ok,10306,7824,test:dot-product-1-4-5-0-1,6,22,5,10306,48,RAM_1P_BRAM,RAM_T2P_BRAM,10306,12839,2
ok,12322,3106,test:dot-product-0-2-5-0-1,6,24,3,12322,30,RAM_1P_BRAM,RAM_T2P_BRAM,12322,3889,1
ok,10989,4950,test:dot-product-5-0-2-0-1,3,24,1,10989,24,RAM_1P_BRAM,RAM_T2P_BRAM,10989,7046,6
ok,21323,3708,test:dot-product-7-7-4-0-0,5,20,8,21323,20,RAM_1P_BRAM,RAM_1P_BRAM,21323,3668,8
ok,10275,3972,test:dot-product-5-1-9-0-0,12,24,2,10275,60,RAM_1P_BRAM,RAM_1P_BRAM,10275,6189,6
ok,10310,23771,test:dot-product-6-4-9-0-0,12,28,5,10310,144,RAM_1P_BRAM,RAM_1P_BRAM,10310,34700,7
ok,12326,9809,test:dot-product-7-4-11-1-0,16,30,5,12326,80,RAM_T2P_BRAM,RAM_1P_BRAM,12326,14852,8
ok,15903,9089,test:dot-product-6-2-6-1-0,8,30,3,15903,48,RAM_T2P_BRAM,RAM_1P_BRAM,15903,12064,7
ok,8942,20461,test:dot-product-7-4-17-1-1,36,30,5,8942,288,RAM_T2P_BRAM,RAM_T2P_BRAM,8942,46407,8
ok,12311,4025,test:dot-product-0-3-11-0-1,16,20,4,12311,64,RAM_1P_BRAM,RAM_T2P_BRAM,12311,6874,1
ok,12597,5655,test:dot-product-1-7-10-0-1,15,28,8,12597,60,RAM_1P_BRAM,RAM_T2P_BRAM,12597,7744,2
ok,10271,3175,test:dot-product-1-3-5-0-1,6,20,4,10271,24,RAM_1P_BRAM,RAM_T2P_BRAM,10271,3908,2
ok,12322,4272,test:dot-product-0-4-10-0-0,15,22,5,12322,75,RAM_1P_BRAM,RAM_1P_BRAM,12322,6520,1
ok,15903,6024,test:dot-product-3-2-6-0-1,8,24,3,15903,40,RAM_1P_BRAM,RAM_T2P_BRAM,15903,8226,4
ok,10390,12976,test:dot-product-1-5-15-0-0,25,24,6,10390,200,RAM_1P_BRAM,RAM_1P_BRAM,10390,27580,2
ok,10306,8313,test:dot-product-6-3-5-0-0,6,26,4,10306,48,RAM_1P_BRAM,RAM_1P_BRAM,10306,14033,7
ok,15903,9128,test:dot-product-6-2-6-1-1,8,30,3,15903,48,RAM_T2P_BRAM,RAM_T2P_BRAM,15903,11676,7
ok,12319,5960,test:dot-product-1-0-16-1-0,30,20,1,12319,120,RAM_T2P_BRAM,RAM_1P_BRAM,12319,11403,2
ok,9284,23654,test:dot-product-4-3-14-1-1,24,22,4,9284,192,RAM_T2P_BRAM,RAM_T2P_BRAM,9284,40394,5
ok,12048,4065,test:dot-product-0-7-11-1-0,16,20,8,12048,64,RAM_T2P_BRAM,RAM_1P_BRAM,12048,6882,1
ok,9285,24807,test:dot-product-2-4-14-1-1,24,26,5,9285,288,RAM_T2P_BRAM,RAM_T2P_BRAM,9285,46382,3
ok,10271,5100,test:dot-product-1-7-14-0-0,24,20,8,10271,96,RAM_1P_BRAM,RAM_1P_BRAM,10271,9471,2
ok,69644,3033,test:dot-product-6-2-0-0-1,1,30,3,69644,4,RAM_1P_BRAM,RAM_T2P_BRAM,69644,2575,7
ok,30091,5598,test:dot-product-7-4-2-0-1,3,22,5,30091,24,RAM_1P_BRAM,RAM_T2P_BRAM,30091,6929,8
ok,8909,4026,test:dot-product-3-5-9-1-0,12,24,6,8909,60,RAM_T2P_BRAM,RAM_1P_BRAM,8909,6180,4
ok,12048,4001,test:dot-product-3-1-11-1-0,16,20,2,12048,64,RAM_T2P_BRAM,RAM_1P_BRAM,12048,6910,4
ok,9248,8021,test:dot-product-7-1-17-0-1,36,20,2,9248,144,RAM_1P_BRAM,RAM_T2P_BRAM,9248,15011,8
ok,30091,5334,test:dot-product-7-5-2-1-1,3,32,6,30091,24,RAM_T2P_BRAM,RAM_T2P_BRAM,30091,6695,8
ok,23583,5795,test:dot-product-4-2-3-1-0,4,26,3,23583,24,RAM_T2P_BRAM,RAM_1P_BRAM,23583,7111,5
ok,10356,5477,test:dot-product-4-0-15-1-1,25,22,1,10356,125,RAM_T2P_BRAM,RAM_T2P_BRAM,10356,9997,5
ok,15503,3611,test:dot-product-0-3-7-0-1,9,20,4,15503,36,RAM_1P_BRAM,RAM_T2P_BRAM,15503,4647,1
ok,38937,3317,test:dot-product-4-0-1-0-1,2,22,1,38937,10,RAM_1P_BRAM,RAM_T2P_BRAM,38937,3386,5
ok,23564,2586,test:dot-product-3-1-3-0-1,4,20,2,23564,16,RAM_1P_BRAM,RAM_T2P_BRAM,23564,2862,4
ok,69644,2694,test:dot-product-6-0-0-1-0,1,26,1,69644,4,RAM_T2P_BRAM,RAM_1P_BRAM,69644,2247,7
ok,12597,6119,test:dot-product-7-7-10-1-0,15,28,8,12597,60,RAM_T2P_BRAM,RAM_1P_BRAM,12597,8249,8
ok,69644,2974,test:dot-product-1-6-0-1-0,1,26,7,69644,4,RAM_T2P_BRAM,RAM_1P_BRAM,69644,2308,2
ok,10271,3872,test:dot-product-1-3-8-0-1,10,20,4,10271,40,RAM_1P_BRAM,RAM_T2P_BRAM,10271,5344,2
ok,9452,6947,test:dot-product-1-3-16-1-0,30,20,4,9452,120,RAM_T2P_BRAM,RAM_1P_BRAM,9452,11813,2
