status,bank1,resource2,lutmem_used,unroll,bench,lut_used,uram_used,bank2,resource1,reg_used,bram_used,dsp_used,runtime_avg,runtime_std
ok,4,RAM_T2P_BRAM,143,8,dot-big-dse:dot-product-3-3-6-1-1,1873,0,4,RAM_T2P_BRAM,3486,10,24,0.8678665999999999,0.016820763687775894
ok,6,RAM_T2P_BRAM,148,12,orig-dot-big-dse:dot-product-5-5-9-1-1,2150,0,6,RAM_T2P_BRAM,3943,14,48,0.5423674999999999,0.01772215116316303
ok,5,RAM_T2P_BRAM,148,10,orig-dot-big-dse:dot-product-4-4-8-1-1,2027,0,5,RAM_T2P_BRAM,3714,12,40,0.5424168,0.013437247298461102
ok,4,RAM_T2P_BRAM,141,4,dot-big-dse:dot-product-3-1-3-1-1,1661,0,2,RAM_T2P_BRAM,3070,10,12,1.207354,0.01794852094184919
ok,4,RAM_T2P_BRAM,141,4,dot-big-dse:dot-product-3-1-3-0-1,1661,0,2,RAM_1P_BRAM,3070,10,12,1.208129,0.01556524747634933
ok,4,RAM_T2P_BRAM,143,12,orig-dot-big-dse:dot-product-3-3-9-1-1,2142,0,4,RAM_T2P_BRAM,3849,10,36,0.5462924000000001,0.014529539932152008
ok,2,RAM_T2P_BRAM,142,10,orig-dot-big-dse:dot-product-1-1-8-1-1,2061,0,2,RAM_T2P_BRAM,3689,10,30,0.5468128999999999,0.016672216430037114
ok,3,RAM_T2P_BRAM,148,6,orig-dot-big-dse:dot-product-2-2-5-1-1,1793,0,3,RAM_T2P_BRAM,3354,14,24,0.5454226000000001,0.018853255788855126
ok,2,RAM_1P_BRAM,141,4,dot-big-dse:dot-product-1-3-3-1-0,1664,0,4,RAM_T2P_BRAM,3078,10,12,1.207631,0.017014893152764728
ok,2,RAM_T2P_BRAM,141,4,dot-big-dse:dot-product-1-3-3-1-1,1664,0,4,RAM_T2P_BRAM,3078,10,12,1.2083559999999998,0.013016850771211905
ok,4,RAM_T2P_BRAM,143,4,dot-big-dse:dot-product-3-3-3-1-1,1664,0,4,RAM_T2P_BRAM,3092,10,12,1.20802,0.01612229388145497
ok,4,RAM_T2P_BRAM,143,10,orig-dot-big-dse:dot-product-3-3-8-1-1,2419,0,4,RAM_T2P_BRAM,3801,10,30,0.5447419,0.014538013196100772
ok,2,RAM_T2P_BRAM,142,4,dot-big-dse:dot-product-1-1-3-1-1,1673,0,2,RAM_T2P_BRAM,3101,10,12,1.2057069999999999,0.01590858827803396
ok,2,RAM_T2P_BRAM,142,6,orig-dot-big-dse:dot-product-1-1-5-1-1,1796,0,2,RAM_T2P_BRAM,3362,10,18,0.5479065999999999,0.015727082127336898
ok,4,RAM_1P_BRAM,143,12,orig-dot-big-dse:dot-product-3-3-9-0-0,2179,0,4,RAM_1P_BRAM,3845,10,36,0.5480264,0.015266092389344435
ok,4,RAM_T2P_BRAM,143,24,orig-dot-big-dse:dot-product-3-3-14-1-1,2860,0,4,RAM_T2P_BRAM,5100,10,72,0.5446898,0.01595042062642864
