status,reg_used,lut_used,dsp_used,resource1,resource2,unroll,lutmem_used,bench,bank1,bank2,bram_used,uram_used,runtime_avg,runtime_std
ok,3714,2027,40,RAM_T2P_BRAM,RAM_T2P_BRAM,10,148,orig-dot-dse:dot-product-4-4-8-1-1,5,5,12,0,0.5411547999999999,0.012987914311389657
ok,3466,1834,24,RAM_T2P_BRAM,RAM_T2P_BRAM,8,141,dahlia-dot-dse:dot-product-3-7-6-1-1,4,8,10,0,0.8772698,0.011851998563955355
ok,3849,2142,36,RAM_T2P_BRAM,RAM_T2P_BRAM,12,143,orig-dot-dse:dot-product-3-3-9-1-1,4,4,10,0,0.5499158,0.014401631065959163
ok,4990,2838,72,RAM_T2P_BRAM,RAM_T2P_BRAM,24,144,orig-dot-dse:dot-product-7-7-14-1-1,8,8,18,0,0.5421838000000001,0.016054711332191562
ok,3487,1837,24,RAM_T2P_BRAM,RAM_1P_BRAM,8,144,dahlia-dot-dse:dot-product-7-7-6-1-0,8,8,10,0,0.8737294999999999,0.014053697138119917
ok,2850,1471,3,RAM_1P_BRAM,RAM_1P_BRAM,1,142,dot-big-dse-baseline:dot-product-0-0-0-0-0,1,1,10,0,3.208137,0.013775477523483508
ok,3481,1834,24,RAM_1P_BRAM,RAM_T2P_BRAM,8,144,dahlia-dot-dse:dot-product-7-3-6-0-1,8,4,10,0,0.8713278000000001,0.012681869702847456
ok,3354,1793,24,RAM_T2P_BRAM,RAM_T2P_BRAM,6,148,orig-dot-dse:dot-product-2-2-5-1-1,3,3,14,0,0.5448156,0.016439880596890003
ok,3486,1873,24,RAM_T2P_BRAM,RAM_T2P_BRAM,8,143,dahlia-dot-dse:dot-product-3-3-6-1-1,4,4,10,0,0.8722688999999999,0.015516442965125728
ok,3466,1834,24,RAM_T2P_BRAM,RAM_1P_BRAM,8,141,dahlia-dot-dse:dot-product-3-7-6-1-0,4,8,10,0,0.8710815000000001,0.012526430499148599
ok,3481,1834,24,RAM_T2P_BRAM,RAM_T2P_BRAM,8,144,dahlia-dot-dse:dot-product-7-3-6-1-1,8,4,10,0,0.8717998,0.011303094769132917
ok,4034,2551,36,RAM_T2P_BRAM,RAM_T2P_BRAM,12,154,orig-dot-dse:dot-product-7-7-9-1-1,8,8,18,0,0.5440265,0.013619401302920772
ok,5076,2864,72,RAM_T2P_BRAM,RAM_1P_BRAM,24,141,orig-dot-dse:dot-product-3-7-14-1-0,4,8,10,0,0.5433285,0.015169714896793559
ok,3873,2392,36,RAM_T2P_BRAM,RAM_T2P_BRAM,12,141,orig-dot-dse:dot-product-3-7-9-1-1,4,8,14,0,0.8756841,0.015565384411892947
ok,3487,1837,24,RAM_1P_BRAM,RAM_T2P_BRAM,8,144,dahlia-dot-dse:dot-product-7-7-6-0-1,8,8,10,0,0.8770279000000001,0.013518586083241118
ok,3486,1869,24,RAM_1P_BRAM,RAM_1P_BRAM,8,144,dahlia-dot-dse:dot-product-7-7-6-0-0,8,8,10,0,0.8779852,0.013880502071611105
ok,3801,2419,30,RAM_T2P_BRAM,RAM_T2P_BRAM,10,143,orig-dot-dse:dot-product-3-3-8-1-1,4,4,10,0,0.5446145,0.011724510644372313
ok,3486,1869,24,RAM_T2P_BRAM,RAM_T2P_BRAM,8,144,dahlia-dot-dse:dot-product-7-7-6-1-1,8,8,10,0,0.8736231,0.015780130192428694
ok,4203,2231,48,RAM_T2P_BRAM,RAM_T2P_BRAM,16,144,dahlia-dot-dse:dot-product-7-7-11-1-1,8,8,18,0,0.7105558999999999,0.011965914327371714
ok,3943,2150,48,RAM_T2P_BRAM,RAM_T2P_BRAM,12,148,orig-dot-dse:dot-product-5-5-9-1-1,6,6,14,0,0.5443282,0.011988116722821796
